id,name,url,program,degree,country,state,online,oncampus,department,created_at,updated_at,university_count,program_size,courses,admit_reqs,year_founded,notes,cost,visualization,machine learning,business,databases,programminglanguages,capstone,mapreduce,part-time,ethics
24,Aarhus University,http://icoa.au.dk/news/single/artikel/seeking-candidate-for-industrial-phd/,Industrial Phd In Big Data Analysis,Doctorate,DK,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,,,,,,,,,,,,,,,
25,University Of Alberta,https://www.cs.ualberta.ca/graduate-students/msc-program-requirements/statistical-machine-learning,Statistical Machine Learning,Masters,CA,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
26,Imperial College London,http://www3.imperial.ac.uk/computing/teaching/pg/mcsml,Computing (Machine Learning),Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
27,Deakin University,http://www.deakin.edu.au/future-students/courses/course.php?course=M760&stutype=local&keywords=information+systems,Business Analytics,Masters,AU,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
28,Macquarie University,http://courses.mq.edu.au/postgraduate/master/master-of-data-science,Data Science,Masters,AU,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
29,"National University Of Ireland, Galway",http://www.nuigalway.ie/courses/taught-postgraduate-courses/information-systems-management.html,Information Systems Management,Masters,IE,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
30,Mykolas Romeris University,https://stdb.mruni.eu/studiju_programos_aprasas.php?id=2481&l=en,Business Informatics,Masters,LT,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
31,Universidade Nova de Lisboa,http://www.isegi.unl.pt/MGI/Especializacao/Gestao-Sistemas-Tecnologias-Informacao/Detalhe-do-Curso/plano-de-estudos.asp,Information Management,Masters,PT,,FALSE,TRUE,Statistics And Information Management,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
32,Vienna University,http://www.wu.ac.at/programs/en/master/is/structure/firstyear,Information Systems,Masters,AT,,FALSE,TRUE,Business,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,50-75 per year,"30 credits. probability, statistical inference, algorithms, computer systems, machine learning, EDA and visualization, ethics","quantitative coursework, intro programming coursework",2014,,,,,,,,,,,
33,Cornell University,http://stat.cornell.edu/academics/mps,Applied Statistics,Masters,US,NY,FALSE,TRUE,Statistics,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,25-50 per year,"12 credits. Algorithms, probability and statistics, machine learning, EDA and visualization","quantitative coursework, intro programming coursework",2013,,,,,,,,,,,
34,Harvard University,http://www.seas.harvard.edu/computational-science-and-engineering/master-science-cse,Computational Science And Engineering,Masters,US,MA,FALSE,TRUE,Engineering,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
35,"University Of Maryland, College Park",http://www.rhsmith.umd.edu/ms/analytics/,Marketing Analytics,Masters,US,MD,FALSE,TRUE,Business,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
36,Rutgers University,http://psm.rutgers.edu/programs/analytics,Business Analytics,Masters,US,NJ,FALSE,TRUE,Business,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,3,,,,,,,,,,,,,,,
37,Cornell University,http://www.orie.cornell.edu/orie/academics/master/index.cfm,Data Analytics,Masters,US,NY,FALSE,TRUE,Engineering,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,,,,,,,,,,,,,,,
38,Brandeis University,http://www.brandeis.edu/gps/courses/programs/listings/strategic-analytics.html,Strategic Analytics,Masters,US,MA,FALSE,TRUE,Graduate Professional Studies,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
39,Depaul University,http://www.cdm.depaul.edu/academics/Pages/MS-In-Predictive-Analytics.aspx,Predictive Analytics,Masters,US,IL,TRUE,TRUE,Computing,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
40,Southern New Hampshire University,http://www.snhu.edu/online-degrees/graduate-degrees/data-analytics-ms-online.asp,Data Analytics,Masters,US,NH,TRUE,FALSE,none,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,,,,,,"$22,572",,,,,,,,,
41,Bowling Green State University,http://www.bgsu.edu/gradcoll/programs/page136074.html,Analytics,Masters,US,OH,FALSE,TRUE,"Interdisciplinary ( statistics, operations research, management of information systems and computer science)",2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
